Date,Time,Day of Week,Category,Details,Location,Press Pool,Daily Summary,Factba.se URL,,
2/18/2026,18:01:00,Wednesday,Pool Report Schedule,White House Press Office: Full lid called,The White House,,,,,
2/17/2026,14:00:00,Tuesday,President Schedule,The President participates in Ambassador Credentialing,Oval Office,Closed Press,,,,
2/17/2026,16:00:00,Tuesday,President Schedule,The President participates in a Policy Meeting,Oval Office,Closed Press,,,,
2/17/2026,17:00:00,Tuesday,President Schedule,The President participates in a Policy Meeting,Oval Office,Closed Press,,,,
2/17/2026,18:00:00,Tuesday,Pool Report Schedule,White House Press Office: Full lid called,The White House,,,,,
2/16/2026,,Monday,President Schedule,"The President and the First Lady depart Palm Beach, Florida, en route Washington, D.C.","Fort Bragg, NC",Out-of-Town Travel Pool,,,Array,
2/16/2026,10:54:00,Monday,Pool Report Schedule,The President conducts a brief phone interview with Steven Nelson of the New York Post,Mar-a-Lago,,,https://rollcall.com/factbase/trump/transcript/donald-trump-interview-no-transcript-new-york-post-february-16-2026/,,
2/16/2026,18:15:00,Monday,Pool Report Schedule,The President departs Mar-a-Lago for Palm Beach International Airport,Mar-a-Lago,,,,,
2/16/2026,18:23:00,Monday,Pool Report Schedule,The President arrives at Palm Beach International Airport,Palm Beach International Airport,,,,,
2/16/2026,18:36:00,Monday,Pool Report Schedule,The President departs Palm Beach International Airport for Joint Base Andrews,Palm Beach International Airport,,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-air-force-one-february-16-2026/,,
2/16/2026,20:24:00,Monday,Pool Report Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,,,,,
2/16/2026,20:44:00,Monday,Pool Report Schedule,The President departs Joint Base Andrews for the White House,Joint Base Andrews,,,,,
2/16/2026,20:53:00,Monday,Pool Report Schedule,The President arrives at the White House,South Lawn,,,,,
2/16/2026,21:03:00,Monday,Pool Report Schedule,White House Press Office: Full lid called,The White House,,,,,
2/15/2026,9:06:00,Sunday,Pool Report Schedule,The President departs Mar-a-Lago for his golf club,Mar-a-Lago,,,,,
2/15/2026,9:13:00,Sunday,Pool Report Schedule,"The President arrives at Trump International Golf Club West Palm Beach for golf with Ron DeSantis, Urban Meyer and Nick Saban",Trump International Golf Club West Palm Beach,,,,,
2/15/2026,15:54:00,Sunday,Pool Report Schedule,The President departs Trump International Golf Club West Palm Beach for Mar-a-Lago,Trump International Golf Club West Palm Beach,,,,,
2/15/2026,16:00:00,Sunday,President Schedule,The President participates in Private Meetings,Mar-a-Lago,Out-of-Town Travel Pool,,,,
2/15/2026,16:01:00,Sunday,Pool Report Schedule,The President arrives at Mar-a-Lago,Mar-a-Lago,,,,,
2/15/2026,19:01:00,Sunday,Pool Report Schedule,The President departs Mar-a-Lago for his golf club and dinner,Mar-a-Lago,,,,,
2/15/2026,19:10:00,Sunday,Pool Report Schedule,The President arrives at Trump International Golf Club West Palm Beach,Trump International Golf Club West Palm Beach,,,,,
2/15/2026,20:59:00,Sunday,Pool Report Schedule,The President departs Trump International Golf Club West Palm Beach for Mar-a-Lago,Trump International Golf Club West Palm Beach,,,,,
2/15/2026,21:08:00,Sunday,Pool Report Schedule,The President arrives at Mar-a-Lago,Mar-a-Lago,,,,,
2/15/2026,21:10:00,Sunday,Pool Report Schedule,White House Press Office: Full lid called,Mar-a-Lago,,,,,
2/14/2026,9:07:00,Saturday,Pool Report Schedule,The President departs Mar-a-Lago for his golf club,Mar-a-Lago,,,,,
2/14/2026,9:17:00,Saturday,Pool Report Schedule,The President arrives at Trump International Golf Club West Palm Beach,Trump International Golf Club West Palm Beach,,,,,
2/14/2026,15:00:00,Saturday,Pool Report Schedule,The President departs Trump International Golf Club West Palm Beach for Mar-a-Lago,Trump International Golf Club West Palm Beach,,,,,
