Date,Time,Day of Week,Category,Details,Location,Press Pool,Daily Summary,Factba.se URL,,
1/15/2026,11:07:00,Thursday,Pool Report Schedule,White House Press Office: Lunch lid until 12:00 PM ,The White House,,,,,
1/15/2026,12:30:00,Thursday,President Schedule,The President participates in a lunch meeting with María Corina Machado,Private Dining Room,Closed Press,,,,
1/15/2026,13:00:00,Thursday,Briefing Schedule,Press Briefing by Press Secretary Karoline Leavitt,James S. Brady Press Briefing Room,On Camera,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-conference-briefing-karoline-leavitt-january-15-2026/,,
1/15/2026,16:00:00,Thursday,President Schedule,The President participates in a Visit of the 2025 Stanley Cup Champions The Florida Panthers,East Room,Pre-Credentialed Media,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-stanley-cup-florida-panthers-january-15-2026/,,
1/15/2026,18:00:00,Thursday,Pool Report Schedule,White House Press Office: Full lid called,The White House,,,,,
1/14/2026,11:46:00,Wednesday,Pool Report Schedule,White House Press Office: Lunch lid until 12:45 PM ,The White House,,,,,
1/14/2026,14:00:00,Wednesday,President Schedule,The President participates in a Signing Ceremony,Oval Office,White House Press Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-milk-bill-signing-january-14-2026/,,
1/14/2026,16:35:00,Wednesday,Pool Report Schedule,Steve Holland of Reuters interviews Donald Trump,Oval Office,,,https://rollcall.com/factbase/trump/transcript/donald-trump-interview-no-transcript-steve-holland-reuters-january-14-2026/,,
1/14/2026,18:08:00,Wednesday,Pool Report Schedule,White House Press Office: Full lid called,The White House,,,,,
1/13/2026,10:19:00,Tuesday,Pool Report Schedule,The President departs The White House for Joint Base Andrews,South Lawn,,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-before-marine-one-departure-january-13-2026/,,
1/13/2026,10:30:00,Tuesday,Pool Report Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,,,,,
1/13/2026,10:44:00,Tuesday,Pool Report Schedule,The President departs Joint Base Andrews for Detroit Metro Airport,Joint Base Andrews,,,,,
1/13/2026,11:45:00,Tuesday,Pool Report Schedule,The President arrives at Detroit Metro Airport,Detroit Metropolitan Wayne County Airport,,,,,
1/13/2026,12:04:00,Tuesday,Pool Report Schedule,The President departs Detroit Metro Airport for the Ford Rouge Complex,Detroit Metropolitan Wayne County Airport,,,,,
1/13/2026,12:25:00,Tuesday,Pool Report Schedule,The President arrives the Ford Rouge Complex in Dearborn,"Ford Rouge Complex, Dearborn, MI",,,,,
1/13/2026,12:30:00,Tuesday,President Schedule,The President participates in a site visit and plant tour,"Ford Rouge Complex, Dearborn, MI",Out-of-Town Travel Pool,,https://rollcall.com/factbase/trump/transcript/donald-trump-remarks-tour-ford-plant-dearborn-michigan-january-13-2026/,,
1/13/2026,13:20:00,Tuesday,Pool Report Schedule,"Tony Dokoupil of CBS News Interviews Donald Trump in Dearborn, Michigan","Ford Rouge Complex, Dearborn, MI",,,https://rollcall.com/factbase/trump/transcript/donald-trump-interview-tony-dokoupil-cbs-news-dearborn-january-13-2026/,,
1/13/2026,13:30:00,Tuesday,Pool Report Schedule,The President departs the Ford Rouge Complex in Dearborn for the Detroit Economic Club event,"Ford Rouge Complex, Dearborn, MI",,,,,
1/13/2026,13:45:00,Tuesday,Pool Report Schedule,The President arrives at the Sound Board Theater for the Detroit Economic Club event,"Sound Board Theater, Detroit",,,,,
1/13/2026,14:00:00,Tuesday,President Schedule,The President delivers remarks to the Detroit Economic Club [Actual: 1:56 PM],"Sound Board Theater, Detroit",Pre-Credentialed Media,,https://rollcall.com/factbase/trump/transcript/donald-trump-speech-detroit-economic-club-january-13-2026/,,
1/13/2026,15:04:00,Tuesday,Pool Report Schedule,The President departs the Sound Board Theater for Detroit Metro Airport,"Sound Board Theater, Detroit",Pre-Credentialed Media,,,,
1/13/2026,15:30:00,Tuesday,Pool Report Schedule,The President arrives at Detroit Metro Airport,Detroit Metropolitan Wayne County Airport,Pre-Credentialed Media,,,,
1/13/2026,15:35:00,Tuesday,Pool Report Schedule,The President departs Detroit Metro Airport for Joint Base Andrews,Detroit Metropolitan Wayne County Airport,Pre-Credentialed Media,,,,
1/13/2026,16:34:00,Tuesday,Pool Report Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,Pre-Credentialed Media,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-after-air-force-one-arrival-january-13-2026/,,
1/13/2026,17:01:00,Tuesday,Pool Report Schedule,The President departs Joint Base Andrews for the White House,Joint Base Andrews,Pre-Credentialed Media,,,,
1/13/2026,17:15:00,Tuesday,Pool Report Schedule,The President arrives at the White House,South Lawn,Pre-Credentialed Media,,,,
1/13/2026,19:01:00,Tuesday,Pool Report Schedule,White House Press Office: Full lid called,The White House,,,,,
1/12/2026,10:30:00,Monday,President Schedule,The President meets with the Secretary of State,Oval Office,Closed Press,,,,
1/12/2026,11:42:00,Monday,Pool Report Schedule,White House Press Office: Lunch lid until 12:45 PM ,The White House,,,,,
1/12/2026,13:15:00,Monday,Pool Report Schedule,Karoline Leavitt briefs reporters at The Sticks,The Sticks - The White House,,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-briefing-karoline-leavitt-the-white-house-january-12-2026/,,
1/12/2026,13:30:00,Monday,President Schedule,The President meets with Archbishop Coakley,Oval Office,Closed Press,,,,
1/12/2026,15:30:00,Monday,President Schedule,The President participates in Signing Time,Oval Office,Closed Press,,,,
1/12/2026,16:00:00,Monday,President Schedule,The President meets with the CEO of Tunnel to Towers Foundation,Oval Office,Closed Press,,,,
1/12/2026,18:10:00,Monday,Pool Report Schedule,White House Press Office: Full lid called,The White House,,,,,
1/11/2026,,Sunday,President Schedule,"TBD: The President returns to Washington, D.C. ",Mar-a-Lago,Out-of-Town Travel Pool,,,Array,
1/11/2026,9:11:00,Sunday,Pool Report Schedule,The President departs Mar-a-Lago for his golf club,Mar-a-Lago,,,,,
1/11/2026,9:18:00,Sunday,Pool Report Schedule,The President arrives at Trump International Golf Club West Palm Beach,Trump International Golf Club West Palm Beach,,,,Array,
1/11/2026,15:02:00,Sunday,Pool Report Schedule,The President departs Trump International Golf Club West Palm Beach for Mar-a-Lago,Trump International Golf Club West Palm Beach,,,,Array,
1/11/2026,15:08:00,Sunday,Pool Report Schedule,The President arrives at Mar-a-Lago,Mar-a-Lago,,,,,
1/11/2026,16:21:00,Sunday,Pool Report Schedule,The President departs Mar-a-Lago for Palm Beach International Airport,Mar-a-Lago,,,,,
1/11/2026,18:30:00,Sunday,Pool Report Schedule,The President arrives at Palm Beach International Airport,Palm Beach International Airport,,,,,
1/11/2026,18:48:00,Sunday,Pool Report Schedule,The President departs Palm Beach International Airport for Joint Base Andrews,Palm Beach International Airport,,,https://rollcall.com/factbase/trump/transcript/donald-trump-press-gaggle-air-force-one-january-11-2026/,,
1/11/2026,20:36:00,Sunday,Pool Report Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,,,,,
1/11/2026,20:59:00,Sunday,Pool Report Schedule,The President departs Joint Base Andrews for the White House,Joint Base Andrews,,,,,
1/11/2026,21:12:00,Sunday,Pool Report Schedule,The President arrives at the White House,South Lawn,,,,,
1/11/2026,21:19:00,Sunday,Pool Report Schedule,White House Press Office: Full lid called,The White House,,,,,
1/10/2026,,Saturday,President Schedule,The President has no public events scheduled,Mar-a-Lago,Out-of-Town Travel Pool,,,Array,
1/10/2026,7:54:00,Saturday,Pool Report Schedule,The President departs Mar-a-Lago for a dentist appointment,Mar-a-Lago,,,,,
1/10/2026,8:12:00,Saturday,Pool Report Schedule,The President arrives at the dentist,"West Palm Beach, FL",,,,,
1/10/2026,10:03:00,Saturday,Pool Report Schedule,The President departs the dentist for Mar-a-Lago,"West Palm Beach, FL",,,,,
1/10/2026,10:21:00,Saturday,Pool Report Schedule,The President arrives at Mar-a-Lago,Mar-a-Lago,,,,,
1/10/2026,11:36:00,Saturday,Pool Report Schedule,White House Press Office: Full lid called,Mar-a-Lago,,,,,
